ID,name,季节,温度,云,雨,水,前置,积分,信仰,激活,关闭,动画,报告
int,string,int,float,float,float,float,bool,int,int,List<int>,List<int>,string,string
0,降温,0,-305,0,0,0,FALSE,0,0,6、7,,hotE,
1,升温,0,273,0,0,0,FALSE,0,0,8、9,,coldE,
2,超暴雨,0,268,0,3000,0,TRUE,17,35,10,,rain,海面出现特大风暴，请船只绕行！
3,暴雨,0,268,0,1000,0,TRUE,9,15,10,,,海上出现风暴，出海请当心！
4,超暴雪,0,-268,0,2000,0,TRUE,19,45,10,,snow,大雪将海面所有船只困住了！
5,暴雪,0,-268,0,750,0,TRUE,11,15,10,,,大雪降低海面能见度，请船只小心驾驶！
6,超高温,0,423,0,0,0,TRUE,5,20,0,7,hot,禁止出海，船只成烤箱！
7,高温,0,323,0,0,0,TRUE,1,10,0,,,海面出现大量可见水汽！
8,超低温,0,-100,0,0,0,TRUE,5,20,1,9,cold,禁止出海，海面出现大量浮冰！
9,低温,0,-250,0,0,0,TRUE,1,10,1,,,出海船只做好防寒准备！
10,停雨,0,0,0,-1,0,TRUE,0,0,2、3、4、5,,,
11,雾散,0,0,-500,0,0,FALSE,0,0,12,,fogE,
12,大雾,0,0,2500,0,0,TRUE,7,20,11,,fog,海面大雾，未装备导航设备的船只禁止出海！
